,life_expectancy,city,state
0,78.0,Atlanta, GA
1,70.4,Cleveland, OH
2,76.7,Cleveland, OH
3,73.9,Baltimore, MD
4,73.6,Cleveland, OH
5,88.4,Cleveland, OH
6,72.8,Cleveland, OH
7,82.5,Cleveland, OH
8,73.4,Cleveland, OH
9,77.1,Boston, MA
10,82.8,Boston, MA
11,80.1,Boston, MA
12,87.2,Boston, MA
13,77.0,Boston, MA
14,86.4,Boston, MA
15,79.5,Boston, MA
16,77.0,San Diego, CA
17,78.0,Chicago, IL
18,76.9,San Diego, CA
19,76.2,San Diego, CA
20,85.0,San Diego, CA
21,75.7,Denver, CO
22,81.5,Denver, CO
23,78.6,Denver, CO
24,84.8,San Diego, CA
25,86.1,San Diego, CA
26,81.0,San Diego, CA
27,81.1,San Diego, CA
28,81.1,San Diego, CA
29,75.3,Fort Worth, TX
30,78.4,Fort Worth, TX
31,76.9,Fort Worth, TX
32,74.3,Fort Worth, TX
33,76.5,Fort Worth, TX
34,74.9,Washington, DC
35,79.8,Washington, DC
36,77.5,Washington, DC
37,72.8,Washington, DC
38,74.9,Kansas City, MO
39,80.2,Kansas City, MO
40,77.6,Kansas City, MO
41,73.7,Kansas City, MO
42,78.6,Kansas City, MO
43,84.0,Los Angeles, CA
44,85.8,Los Angeles, CA
45,75.7,Los Angeles, CA
46,83.4,Los Angeles, CA
47,76.9,Las Vegas, NV
48,81.2,Las Vegas, NV
49,79.0,Las Vegas, NV
50,86.8,Las Vegas, NV
51,76.1,Las Vegas, NV
52,85.9,Las Vegas, NV
53,77.5,Las Vegas, NV
54,88.4,Washington, DC
55,81.1,Los Angeles, CA
56,81.8,Los Angeles, CA
57,79.4,Los Angeles, CA
58,84.1,Washington, DC
59,80.0,Miami, FL
60,72.3,Philadelphia, PA
61,79.3,Philadelphia, PA
62,82.2,New York, NY
63,81.3,New York, NY
64,83.4,New York, NY
65,78.4,New York, NY
66,81.1,New York, NY
67,77.2,New York, NY
68,79.2,Oakland, CA
69,84.1,Oakland, CA
70,81.7,Oakland, CA
71,74.5,Oakland, CA
72,83.9,Oakland, CA
73,81.1,Oakland, CA
74,80.0,Phoenix, AZ
75,81.6,Portland, OR
76,76.7,Portland, OR
77,76.7,Portland, OR
78,81.6,Portland, OR
79,79.2,Portland, OR
80,77.0,Portland, OR
81,79.5,Portland, OR
82,79.2,Portland, OR
83,82.0,Portland, OR
84,86.4,Portland, OR
85,84.4,Portland, OR
86,88.0,Portland, OR
87,74.2,Portland, OR
88,73.6,Portland, OR
89,74.8,Portland, OR
90,79.0,Portland, OR
91,86.6,Portland, OR
92,87.8,Portland, OR
93,74.1,Portland, OR
94,78.4,Portland, OR
95,80.0,Portland, OR
96,79.2,Portland, OR
97,78.9,Portland, OR
98,79.4,Portland, OR
99,79.9,San Antonio, TX
100,79.4,San Antonio, TX
101,76.8,San Antonio, TX
102,81.7,San Antonio, TX
103,75.9,San Antonio, TX
104,79.3,San Antonio, TX
105,87.3,San Diego, CA
106,88.3,San Diego, CA
107,81.9,San Diego, CA
108,79.6,San Diego, CA
109,84.0,San Diego, CA
110,80.1,San Diego, CA
111,82.0,San Diego, CA
112,84.5,San Diego, CA
113,82.3,San Diego, CA
114,79.5,San Diego, CA
115,84.3,San Diego, CA
116,87.5,San Diego, CA
117,79.7,San Francisco, CA
118,84.4,San Francisco, CA
119,82.0,San Francisco, CA
120,85.1,San Francisco, CA
121,69.2,San Francisco, CA
122,82.4,San Francisco, CA
123,81.0,San Francisco, CA
124,79.4,Seattle, WA
125,84.9,Seattle, WA
126,82.2,Seattle, WA
127,77.1,Seattle, WA
128,91.5,Seattle, WA
129,82.3,Seattle, WA
130,78.8,U.S. Total,
131,76.4,U.S. Total,
132,81.2,U.S. Total,
133,78.8,U.S. Total,
134,76.3,U.S. Total,
135,81.1,U.S. Total,
136,78.7,U.S. Total,
137,76.2,U.S. Total,
138,81.0,U.S. Total,
139,78.7,U.S. Total,
140,76.4,U.S. Total,
141,81.2,U.S. Total,
142,84.9,Long Beach, CA
143,84.9,Long Beach, CA
144,86.2,Long Beach, CA
145,76.0,Long Beach, CA
146,76.4,Long Beach, CA
147,78.5,Long Beach, CA
148,79.4,Long Beach, CA
149,81.0,Long Beach, CA
150,81.8,Long Beach, CA
151,82.8,Long Beach, CA
152,82.8,Long Beach, CA
153,82.8,Long Beach, CA
154,83.0,Long Beach, CA
