,city,number_fastfood
0,Columbus,105
1,Indianapolis,94
2,Birmingham,69
3,Cincinnati,60
4,Dayton,59
5,Cleveland,57
6,Spokane,56
7,Las Vegas,55
8,Portland,54
9,Columbia,51
10,Miami,49
11,San Jose,48
12,Greenville,42
13,Charlotte,42
14,Springfield,38
15,Fayetteville,37
16,Clarksville,37
17,Fort Lauderdale,37
18,Greensboro,36
19,Canton,35
20,Houston,35
21,Honolulu,35
22,Sacramento,34
23,Florence,33
24,Tampa,33
25,Phoenix,33
26,Huntsville,32
27,Chicago,32
28,Eugene,32
29,Auburn,31
30,Decatur,31
31,Jacksonville,31
32,Tucson,31
33,Akron,30
34,Oklahoma City,30
35,West Palm Beach,30
36,Franklin,29
37,Montgomery,28
38,Charleston,28
39,Salem,27
40,Richmond,27
41,Washington,27
42,Saint Louis,27
43,Denver,27
44,Madison,26
45,Seattle,26
46,Raleigh,26
47,Tuscaloosa,26
48,Alexandria,25
49,Toledo,25
50,Greenwood,25
51,Anchorage,24
52,Roanoke,24
53,Mobile,24
54,Lexington,24
55,Winston-Salem,24
56,Dothan,23
57,Kansas City,22
58,Louisville,22
59,Anderson,22
60,Mesa,21
61,Orlando,21
62,Elkhart,21
63,Jackson,21
64,El Paso,20
65,Burlington,20
66,Gadsden,20
67,Lafayette,20
68,Vancouver,20
69,Los Angeles,20
70,Salisbury,20
71,Boca Raton,19
72,Colorado Springs,19
73,Bradenton,19
74,Ocala,19
75,Durham,19
76,Lancaster,19
77,Athens,18
78,Cape Coral,18
79,Chesapeake,18
80,Wilmington,18
81,Marion,18
82,Myrtle Beach,17
83,Albuquerque,17
84,Albany,17
85,Little Rock,17
86,Asheville,17
87,Virginia Beach,17
88,Cary,17
89,Youngstown,16
90,Brandon,16
91,Danville,16
92,Lebanon,16
93,Spartanburg,16
94,Saint Petersburg,16
95,Fort Myers,16
96,Portsmouth,15
97,Baton Rouge,15
98,Troy,15
99,Philadelphia,15
100,Lakeland,15
101,Oxford,15
102,North Charleston,15
103,Omaha,15
104,Kent,15
105,Santa Rosa,15
106,Carmel,15
107,Jasper,14
108,Monroe,14
109,Dublin,14
110,Goshen,14
111,Bakersfield,14
112,Olympia,14
113,Merrillville,14
114,Dallas,14
115,Concord,14
116,Macon,14
